Row, Timestamp, Series 2, Series 7
0   , 0.677, 13     , 0      
1   , 0.697, 13     , 0      
2   , 0.717, 13     , 0      
3   , 0.737, 13     , 1      
4   , 0.757, 13     , 5      
5   , 0.777, 13     , 7      
6   , 0.797, 13     , 9      
7   , 0.817, 13     , 11     
8   , 0.837, 13     , 12     
9   , 0.858, 13     , 13     
10  , 0.878, 13     , 13     
11  , 0.898, 13     , 14     
12  , 0.918, 13     , 12     
13  , 0.938, 13     , 13     
14  , 0.958, 13     , 13     
15  , 0.978, 13     , 13     
16  , 0.998, 13     , 13     
17  , 1.018, 13     , 13     
18  , 1.038, 13     , 13     
19  , 1.058, 13     , 11     
20  , 1.078, 13     , 12     
21  , 1.098, 13     , 13     
22  , 1.118, 13     , 13     
23  , 1.138, 13     , 12     
24  , 1.158, 13     , 13     
25  , 1.178, 13     , 13     
26  , 1.198, 13     , 14     
27  , 1.218, 13     , 11     
28  , 1.238, 13     , 13     
29  , 1.258, 13     , 13     
30  , 1.278, 13     , 14     
31  , 1.298, 13     , 11     
32  , 1.318, 13     , 13     
33  , 1.338, 13     , 13     
34  , 1.358, 13     , 13     
35  , 1.378, 13     , 13     
36  , 1.398, 13     , 11     
37  , 1.418, 13     , 14     
38  , 1.438, 13     , 13     
39  , 1.458, 13     , 13     
40  , 1.478, 13     , 12     
41  , 1.498, 13     , 13     
42  , 1.518, 13     , 13     
43  , 1.538, 13     , 13     
44  , 1.558, 13     , 13     
45  , 1.579, 13     , 13     
46  , 1.599, 13     , 13     
47  , 1.619, 13     , 13     
48  , 1.639, 13     , 12     
49  , 1.659, 13     , 12     
50  , 1.679, 13     , 13     
51  , 1.699, 13     , 13     
52  , 1.719, 13     , 12     
53  , 1.739, 13     , 13     
54  , 1.759, 13     , 13     
55  , 1.779, 13     , 13     
56  , 1.799, 13     , 12     
57  , 1.819, 13     , 13     
58  , 1.839, 13     , 12     
59  , 1.859, 13     , 13     
60  , 1.879, 13     , 12     
61  , 1.899, 13     , 13     
62  , 1.919, 13     , 12     
63  , 1.939, 13     , 13     
64  , 1.959, 13     , 13     
65  , 1.979, 13     , 12     
66  , 1.999, 13     , 13     
67  , 2.019, 13     , 13     
68  , 2.039, 13     , 13     
69  , 2.059, 13     , 13     
70  , 2.079, 13     , 13     
71  , 2.099, 13     , 12     
72  , 2.119, 13     , 13     
73  , 2.139, 13     , 13     
74  , 2.159, 13     , 13     
75  , 2.179, 13     , 13     
76  , 2.199, 13     , 12     
77  , 2.219, 13     , 13     
78  , 2.239, 13     , 13     
79  , 2.259, 13     , 13     
80  , 2.279, 13     , 13     
81  , 2.299, 13     , 13     
82  , 2.319, 13     , 13     
83  , 2.339, 13     , 13     
84  , 2.359, 13     , 13     
85  , 2.379, 13     , 13     
86  , 2.399, 13     , 13     
87  , 2.419, 13     , 12     
88  , 2.439, 13     , 13     
89  , 2.459, 13     , 13     
90  , 2.479, 13     , 13     
91  , 2.499, 13     , 13     
92  , 2.519, 13     , 12     
93  , 2.539, 13     , 13     
94  , 2.563, 13     , 15     
95  , 2.584, 13     , 13     
96  , 2.604, 13     , 10     
97  , 2.624, 13     , 12     
98  , 2.644, 13     , 12     
99  , 2.664, 13     , 13     
100 , 2.684, -13    , 12     
101 , 2.704, -13    , 11     
102 , 2.724, -13    , 7      
103 , 2.744, -13    , 4      
104 , 2.764, -13    , 0      
105 , 2.784, -13    , -2     
106 , 2.804, -13    , -5     
107 , 2.824, -13    , -8     
108 , 2.844, -13    , -9     
109 , 2.864, -13    , -12    
110 , 2.884, -13    , -12    
111 , 2.904, -13    , -13    
112 , 2.924, -13    , -13    
113 , 2.944, -13    , -13    
114 , 2.964, -13    , -13    
115 , 2.984, -13    , -13    
116 , 3.004, -13    , -13    
117 , 3.024, -13    , -13    
118 , 3.044, -13    , -13    
119 , 3.064, -13    , -13    
120 , 3.084, -13    , -13    
121 , 3.104, -13    , -12    
122 , 3.124, -13    , -13    
123 , 3.144, -13    , -13    
124 , 3.164, -13    , -12    
125 , 3.184, -13    , -13    
126 , 3.204, -13    , -13    
127 , 3.224, -13    , -11    
128 , 3.244, -13    , -13    
129 , 3.264, -13    , -12    
130 , 3.284, -13    , -13    
131 , 3.304, -13    , -12    
132 , 3.324, -13    , -13    
133 , 3.344, -13    , -12    
134 , 3.364, -13    , -13    
135 , 3.384, -13    , -12    
136 , 3.404, -13    , -13    
137 , 3.424, -13    , -12    
138 , 3.444, -13    , -13    
139 , 3.464, -13    , -12    
140 , 3.484, -13    , -12    
141 , 3.504, -13    , -13    
142 , 3.524, -13    , -14    
143 , 3.544, -13    , -11    
144 , 3.564, -13    , -13    
145 , 3.584, -13    , -13    
146 , 3.604, -13    , -13    
147 , 3.624, -13    , -12    
148 , 3.644, -13    , -13    
149 , 3.664, -13    , -13    
150 , 3.684, -13    , -13    
151 , 3.704, -13    , -13    
152 , 3.724, -13    , -13    
153 , 3.744, -13    , -13    
154 , 3.764, -13    , -11    
155 , 3.784, -13    , -13    
156 , 3.804, -13    , -12    
157 , 3.824, -13    , -13    
158 , 3.844, -13    , -13    
159 , 3.864, -13    , -13    
160 , 3.886, -13    , -13    
161 , 3.906, -13    , -13    
162 , 3.926, -13    , -13    
163 , 3.946, -13    , -12    
164 , 3.966, -13    , -13    
165 , 3.986, -13    , -12    
166 , 4.006, -13    , -13    
167 , 4.026, -13    , -11    
168 , 4.046, -13    , -13    
169 , 4.066, -13    , -12    
170 , 4.086, -13    , -13    
171 , 4.106, -13    , -13    
172 , 4.126, -13    , -13    
173 , 4.146, -13    , -14    
174 , 4.166, -13    , -11    
175 , 4.186, -13    , -13    
176 , 4.206, -13    , -13    
177 , 4.226, -13    , -13    
178 , 4.246, -13    , -12    
179 , 4.266, -13    , -13    
180 , 4.286, -13    , -12    
181 , 4.306, -13    , -13    
182 , 4.327, -13    , -13    
183 , 4.347, -13    , -13    
184 , 4.367, -13    , -13    
185 , 4.387, -13    , -12    
186 , 4.407, -13    , -12    
187 , 4.427, -13    , -12    
188 , 4.447, -13    , -13    
189 , 4.467, -13    , -13    
190 , 4.487, -13    , -13    
191 , 4.507, -13    , -13    
192 , 4.527, -13    , -13    
193 , 4.547, -13    , -13    
194 , 4.567, -13    , -13    
195 , 4.587, -13    , -12    
196 , 4.607, -13    , -13    
197 , 4.627, -13    , -12    
198 , 4.647, -13    , -13    
199 , 4.667, -13    , -13    
