Row,Timestamp,Ref,Vel
1,0.0,100,98
2,0.02,101,99
3,0.04,102,100
4,0.06,103,101
5,0.08,104,102
6,0.1,105,103
7,0.12,106,104
8,0.14,107,105
9,0.16,108,106
Row, Timestamp, Series 2, Series 7
0   , 0.621, 1300   , 0      
1   , 0.641, 1300   , 174    
2   , 0.661, 1300   , 436    
3   , 0.681, 1300   , 872    
4   , 0.701, 1300   , 872    
5   , 0.721, 1300   , 1134   
6   , 0.741, 1300   , 1134   
7   , 0.761, 1300   , 1221   
8   , 0.781, 1300   , 1308   
9   , 0.801, 1300   , 1308   
10  , 0.821, 1300   , 1396   
11  , 0.841, 1300   , 1308   
12  , 0.861, 1300   , 1308   
13  , 0.881, 1300   , 1308   
14  , 0.901, 1300   , 1308   
15  , 0.921, 1300   , 1308   
16  , 0.941, 1300   , 1308   
17  , 0.961, 1300   , 1221   
18  , 0.981, 1300   , 1308   
19  , 1.001, 1300   , 1308   
20  , 1.021, 1300   , 1308   
21  , 1.041, 1300   , 1308   
22  , 1.061, 1300   , 1308   
23  , 1.081, 1300   , 1308   
24  , 1.101, 1300   , 1221   
25  , 1.121, 1300   , 1308   
26  , 1.141, 1300   , 1308   
27  , 1.161, 1300   , 1308   
28  , 1.181, 1300   , 1308   
29  , 1.201, 1300   , 1396   
30  , 1.221, 1300   , 1221   
31  , 1.241, 1300   , 1308   
32  , 1.261, 1300   , 1308   
33  , 1.281, 1300   , 1308   
34  , 1.301, 1300   , 1308   
35  , 1.321, 1300   , 1221   
36  , 1.341, 1300   , 1308   
37  , 1.361, 1300   , 1308   
38  , 1.381, 1300   , 1308   
39  , 1.401, 1300   , 1308   
40  , 1.421, 1300   , 1308   
41  , 1.441, 1300   , 1308   
42  , 1.461, 1300   , 1308   
43  , 1.481, 1300   , 1308   
44  , 1.501, 1300   , 1308   
45  , 1.521, 1300   , 1221   
46  , 1.541, 1300   , 1308   
47  , 1.561, 1300   , 1308   
48  , 1.581, 1300   , 1308   
49  , 1.601, 1300   , 1308   
50  , 1.621, 1300   , 1308   
51  , 1.641, 1300   , 1309   
52  , 1.661, 1300   , 1308   
53  , 1.681, 1300   , 1308   
54  , 1.701, 1300   , 1308   
55  , 1.721, 1300   , 1221   
56  , 1.741, 1300   , 1308   
57  , 1.761, 1300   , 1308   
58  , 1.781, 1300   , 1308   
59  , 1.801, 1300   , 1308   
60  , 1.821, 1300   , 1308   
61  , 1.841, 1300   , 1308   
62  , 1.861, 1300   , 1309   
63  , 1.881, 1300   , 1308   
64  , 1.901, 1300   , 1308   
65  , 1.921, 1300   , 1308   
66  , 1.941, 1300   , 1221   
67  , 1.961, 1300   , 1308   
68  , 1.981, 1300   , 1309   
69  , 2.001, 1300   , 1308   
70  , 2.021, 1300   , 1308   
71  , 2.041, 1300   , 1308   
72  , 2.061, 1300   , 1309   
73  , 2.081, 1300   , 1221   
74  , 2.101, 1300   , 1308   
75  , 2.121, 1300   , 1309   
76  , 2.141, 1300   , 1308   
77  , 2.161, 1300   , 1308   
78  , 2.181, 1300   , 1396   
79  , 2.201, 1300   , 1221   
80  , 2.221, 1300   , 1308   
81  , 2.241, 1300   , 1309   
82  , 2.261, 1300   , 1308   
83  , 2.281, 1300   , 1308   
84  , 2.301, 1300   , 1221   
85  , 2.321, 1300   , 1308   
86  , 2.341, 1300   , 1308   
87  , 2.361, 1300   , 1308   
88  , 2.381, 1300   , 1309   
89  , 2.401, 1300   , 1308   
90  , 2.421, 1300   , 1308   
91  , 2.441, 1300   , 1309   
92  , 2.461, 1300   , 1308   
93  , 2.481, 1300   , 1309   
94  , 2.501, 1300   , 1221   
95  , 2.521, 1300   , 1308   
